"num.claims" "av.claimsize"
"3537" 6 4.64510833333333
"3538" 2 2.47573
"3543" 2 0.136985
"3544" 1 0.61164
"3545" 1 0.15076
"3546" 1 10
"3549" 3 3.92491333333333
"3551" 1 3.35987
"3552" 2 4.39502
"3556" 3 2.11871333333333
"3557" 3 4.04659333333333
"3558" 5 0.730526
"3559" 2 3.827965
"3560" 1 3.78013
"3561" 1 0.89928
"3563" 4 1.0971275
"3565" 6 3.912475
"3569" 3 0.975336666666667
"3570" 1 10.49054
"3571" 2 0.69518
"3574" 1 4.99994
"3575" 2 1.817365
"3576" 3 2.77527333333333
"3580" 1 2
"3581" 1 1.23818
"3582" 1 0.03669
"3583" 2 2.2211
"3585" 1 5.99495
"3588" 1 0.15
"3589" 4 4.426645
"3590" 1 2.8866
"3594" 2 2.528095
"3596" 2 5.385625
"3597" 1 5.4389
"3599" 2 1.7977
"3600" 1 0.67444
"3602" 1 1.29514
"3604" 1 5.02434
"3605" 2 0.301645
"3606" 1 0.71803
"3607" 2 5.06396
"3608" 1 2.67844
"3614" 3 3.05963333333333
"3619" 3 0.640073333333333
"3622" 1 0.48532
"3624" 1 0.08219
"3628" 2 4.85061
"3631" 1 4.13378
"3632" 1 0.82483
"3636" 1 0.11658
"3644" 1 0.60431
"3646" 1 0.50574
"3649" 2 0.48572
"3651" 2 0.357775
"3652" 1 2.85354
"3657" 1 0.20213
"3661" 4 2.2901525
"3663" 3 0.0789166666666667
"3669" 1 0.45942
"3674" 1 3.0015
"3677" 2 4.52821
"3679" 2 0.8073
"3680" 1 0.10616
"3684" 2 9.540935
"3687" 1 3
"3689" 1 7.15677
"3691" 1 3.9
"3701" 1 0.84638
"3702" 1 6.44424
"3703" 2 0.828465
"3706" 1 0.32394
"3707" 1 7.6
"3713" 2 0.47626
"3715" 1 0.15218
"3720" 1 0.61529
"3722" 1 1.81798
"3725" 2 0.518255
"3726" 1 0.43531
"3727" 1 3.59234
"3739" 1 6.02281
"3742" 1 0.21961
"3746" 1 4.31985
"3748" 2 2.429795
"3752" 1 0.34479
"3753" 2 1.705
"3764" 2 0.5255
"3767" 4 0.9023425
"3775" 1 4
"3781" 1 4.95
"3789" 1 1.44887
"3796" 1 0.55686
"3802" 1 12.95
"3803" 1 0.18553
"3804" 5 0.779402
"3808" 1 3.38336
"3809" 1 1.13438
"3814" 3 6.58052
"3815" 1 5.75336
"3816" 2 1.434345
"3827" 1 4.00604
"3841" 1 3.0363
"3843" 1 0.36753
"3849" 3 2.89344333333333
"3855" 1 2
"3856" 1 4
"3863" 1 4
"3865" 2 0.732115
"3868" 1 0.304
"3870" 1 5.83594
"3875" 1 1.55324
"3877" 2 3.396875
"3878" 3 5.78710333333333
"3884" 1 0.53404
"3888" 2 0.26684
"3891" 1 0.02675
"3893" 1 3.5228
"3896" 3 2.52958
"3897" 1 0.04147
"3905" 1 0.05967
"3915" 3 3.86423666666667
"3923" 1 0.96213
"3927" 1 0.63816
"3934" 1 2.65476
"3937" 1 0.95162
"3940" 1 7.25
"3944" 1 0.47298
"3948" 1 6.63698
"3961" 1 0.96551
"3979" 1 5.45
"3983" 1 4.22734
"3988" 1 6.23705
"3989" 6 1.32696666666667
"3993" 1 7.2676
"3994" 1 4.03613
"3998" 1 7.87343
"4001" 3 2.44296666666667
"4005" 1 7
"4006" 1 1.12236
"4011" 1 0.15
"4013" 1 0.72908
"4014" 1 4.83
"4017" 2 2.12811
"4019" 1 0.20056
"4023" 1 2.84242
"4024" 2 3.95805
"4029" 1 5.78795
"4036" 3 1.60859
"4037" 1 0.66913
"4042" 1 3.31082
"4043" 2 0.848655
"4045" 1 1.90609
"4050" 1 0.98936
"4054" 1 2.09074
"4057" 1 2.19388
"4061" 1 0.03
"4071" 1 0.15
"4073" 1 0.5703
